sample,cel.file.name,sample.type,cancertype,MCPyV.status,batch
MC01,./data/CEL/MC01_HG-U133A_2.CEL,cellline,MCC,1,1
MT01,./data/CEL/MT01_HG-U133A_2.CEL,tissue,MCC,1,1
MT02,./data/CEL/MT02_HG-U133A_2.CEL,tissue,MCC,0,1
MT03,./data/CEL/MT03_HG-U133A_2.CEL,tissue,MCC,1,1
MT04,./data/CEL/MT04_HG-U133A_2.CEL,tissue,MCC,1,1
MT05,./data/CEL/MT05_HG-U133A_2.CEL,tissue,MCC,1,1
MT06,./data/CEL/MT06_HG-U133A_2.CEL,tissue,MCC,1,1
MT07,./data/CEL/MT07_HG-U133A_2.CEL,tissue,MCC,1,1
MT09,./data/CEL/MT09_HG-U133A_2.CEL,tissue,MCC,1,1
MT10,./data/CEL/MT10_HG-U133A_2.CEL,tissue,MCC,1,1
MT11,./data/CEL/MT11_HG-U133A_2.CEL,tissue,MCC,0,1
MT12,./data/CEL/MT12_HG-U133A_2.CEL,tissue,MCC,1,1
MT13,./data/CEL/MT13_HG-U133A_2.CEL,tissue,MCC,0,1
MT14,./data/CEL/MT14_HG-U133A_2.CEL,tissue,MCC,0,1
MT15,./data/CEL/MT15_HG-U133A_2.CEL,tissue,MCC,1,1
MT16,./data/CEL/MT16_HG-U133A_2.CEL,tissue,MCC,0,1
MT17,./data/CEL/MT17_HG-U133A_2.CEL,tissue,MCC,1,1
MT18,./data/CEL/MT18_HG-U133A_2.CEL,tissue,MCC,1,1
MT19,./data/CEL/MT19_HG-U133A_2.CEL,tissue,MCC,0,1
MT20,./data/CEL/MT20_HG-U133A_2.CEL,tissue,MCC,0,1
MT21,./data/CEL/MT21_HG-U133A_2.CEL,tissue,MCC,1,1
MT22,./data/CEL/MT22_HG-U133A_2.CEL,tissue,MCC,1,1
MT23,./data/CEL/MT23_HG-U133A_2.CEL,tissue,MCC,1,1
MT24,./data/CEL/MT24_HG-U133A_2.CEL,tissue,MCC,1,1
LT01,./data/CEL/LT01_HG-U133A_2.CEL,tissue,SCLC,,1
LT02,./data/CEL/LT02_HG-U133A_2.CEL,tissue,SCLC,,1
LT03,./data/CEL/LT03_HG-U133A_2.CEL,tissue,SCLC,,1
LT04,./data/CEL/LT04_HG-U133A_2.CEL,tissue,SCLC,,1
LT05,./data/CEL/LT05_HG-U133A_2.CEL,tissue,SCLC,,1
LT06,./data/CEL/LT06_HG-U133A_2.CEL,tissue,SCLC,,1
LT07,./data/CEL/LT07_HG-U133A_2.CEL,tissue,SCLC,,1
LT08,./data/CEL/LT08_HG-U133A_2.CEL,tissue,SCLC,,1
LT11,./data/CEL/LT11_HG-U133A_2.CEL,tissue,SCLC,,1
Mkl-1_1,./data/CEL/Mkl-1_1_HG-U133A_2.CEL,cellline,MCC,1,2
Mkl-1_2,./data/CEL/Mkl-1_2_HG-U133A_2.CEL,cellline,MCC,1,2
Mkl-1_3,./data/CEL/Mkl-1_3_HG-U133A_2.CEL,cellline,MCC,1,2
UISO_1,./data/CEL/UiSo_1_HG-U133A_2.CEL,cellline,MCC,0,2
UISO_2,./data/CEL/UiSo_2_HG-U133A_2.CEL,cellline,MCC,0,2
UISO_3,./data/CEL/UiSo_3_HG-U133A_2.CEL,cellline,MCC,0,2
Waga_1,./data/CEL/Waga_1_HG-U133A_2.CEL,cellline,MCC,1,2
Waga_2,./data/CEL/Waga_2_HG-U133A_2.CEL,cellline,MCC,1,2
Waga_3,./data/CEL/Waga_3_HG-U133A_2.CEL,cellline,MCC,1,2
Mkl-1_4,./data/CEL//Mkl-1_1_CSAS13317.CEL,cellline,MCC,1,3
Mkl-1_5,./data/CEL/Mkl-1_2_CSAS13317.CEL,cellline,MCC,1,3
Mkl-1_6,./data/CEL/Mkl-1_3_CSAS13317.CEL,cellline,MCC,1,3
UISO_4,./data/CEL/UISO_late-1.CEL,cellline,MCC,0,3
UISO_5,./data/CEL/UISO_late-2.CEL,cellline,MCC,0,3
UISO_6,./data/CEL/UISO_late-3.CEL,cellline,MCC,0,3
Waga_4,./data/CEL/Waga-1_CSAS13317.CEL,cellline,MCC,1,3
Waga_5,./data/CEL/Waga-2_CSAS13317.CEL,cellline,MCC,1,3
Waga_6,./data/CEL/Waga-3_CSAS13317.CEL,cellline,MCC,1,3
